E-commerce,Código de barras,COD_IMG,SKU e MPN,Nome,Categoria,Identificador URL,Foto,Descrição,Vendido,Conjunto, Preço a prazo (+10%) , Preço a vista , Preço promocional (-10%) ,Tamanhos Disponíveis,,Tamanho Venda, Valor da venda ,Exibir na loja,Tags,Título para SEO,Descrição para SEO,Marca,Custo do produto,Estoque,Peso (kg),Altura (cm),Largura (cm),Comprimento (cm),Observação
on,143338804569,codigo_de_barras_143338804569.png,,Túnica com Pontas Geométrica Elegante,Túnica,tunica-pontas-estampado,tunica-pontas-estampado+calca-pantalona,Túnica Geométrica Elegante com Pontas em Preto e Branco,PARCELADO,SIM," R$  416,90 "," R$  379,00 "," R$  341,10 ",G,,M, 3x379 ,SIM,túnica;estampado;geométrica,Túnica com Pontas Estampado,"Túnica Geométrica Elegante com Pontas em Preto e Branco

Descubra a sofisticação e o estilo inigualável com nossa túnica geométrica elegante, que se destaca no mundo da moda. Esta peça exclusiva proporciona um visual moderno e sofisticado, graças à sua estampa geométrica em preto e branco. De fato, a combinação clássica das cores permite que você a use com uma ampla gama de acessórios e peças de vestuário, tornando-a uma adição indispensável ao seu guarda-roupa. Ademais, a túnica geométrica elegante é confeccionada com tecidos de alta qualidade, garantindo um conforto excepcional e durabilidade. O design com pontas, por sua vez, adiciona um toque de originalidade ao visual e proporciona um caimento fluido que acentua a silhueta de forma graciosa. Com efeito, a estampa geométrica, com suas linhas e formas distintas, cria um efeito visual fascinante que destaca sua personalidade e estilo único. Além disso, você pode utilizar esta túnica tanto em eventos casuais quanto em ocasiões mais formais. Sua versatilidade permite combinações com jeans, leggings ou calças elegantes, conforme o estilo desejado. Para complementar, acessórios sofisticados farão com que você esteja pronta para qualquer evento, seja um dia no escritório ou uma noite especial com amigos e familiares. Por outro lado, a túnica geométrica elegante é fácil de cuidar. O tecido de alta qualidade resiste ao desgaste e mantém sua aparência impecável mesmo após várias lavagens. Assim sendo, se você procura uma peça chave para transformar seu guarda-roupa ou um destaque para um look específico, nossa túnica com estampa geométrica em preto e branco é a escolha ideal. Finalmente, invista em elegância e versatilidade com nossa túnica geométrica elegante. Experimente como um design inovador pode transformar seu estilo, adicionando um toque de modernidade e classe ao seu vestuário. Com isso, você garante que estará sempre na moda e pronta para qualquer ocasião com confiança e charme.",Roseli Budke Ateliê,90,1,,,,,
off,870368026389,codigo_de_barras_870368026389.png,,Calça Pantalona Geométrica,Calça,calca-pantalona-estampado,,Calça Pantalona Estampada Geométrica,PRESENTE,SIM," R$  361,90 "," R$  329,00 "," R$  296,10 ",M,G,,,SIM,calça;pantalona;estampado,Calça Pantalona Estampada Geométrica,Calça Pantalona Estampada Geométrica,Roseli Budke Ateliê,110,2,,,,,
off,807329414223,codigo_de_barras_807329414223.png,,Camisa Estampada Florida,Camisa,camisa-estampada-florida,https://www.instagram.com/p/C8-Z02NSUYu/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Camisa Estampada Florida,SIM,SIM," R$  304,59 "," R$  276,90 "," R$  249,21 ",M,G,Todos," R$  304,59 ",NÃO,camisa;estampado;florida,Camisa Estampada Florida,Camisa Estampada Florida,Roseli Budke Ateliê,90,1,,,,,Esperar a blusa para tirar foto
off,360053997584,codigo_de_barras_360053997584.png,,Calça Pantalona Lastex Florida,Calça,calca-estampado-pantalona,,Calça Pantalona Lastex Florida,PARCELADO,SIM," R$  320,10 "," R$  291,00 "," R$  261,90 ",M,G,M,,NÃO,calça;estampado;pantalona,Calça Pantalona Lastex,Calça Pantalona Lastex,Roseli Budke Ateliê,110,2,,,,,
off,947556763890,codigo_de_barras_947556763890.png,,Calça Longa Verde Lisa,Calça,calca-longa-verde-lisa,calca-longa-verde-lisa,Calça Longa Verde Lisa,NÃO,SIM," R$  328,90 "," R$  299,00 "," R$  269,10 ",M,,,,NÃO,calça;longo;verde;liso,Calça Longa Verde Lisa M,Calça Longa Verde Lisa M,Roseli Budke Ateliê,110,1,,,,,Esperar a blusa para tirar foto
on,279918402342,codigo_de_barras_279918402342.png,,Vestido Longo Liso Roxo,Vestido,vestido-longo-liso-roxo,vestido-longo-liso-roxo,Vestido de Malha Longo Roxo ,NÃO,NÃO," R$  207,90 "," R$  189,00 "," R$  170,10 ",M,,,,SIM,vestido;longo;liso;roxo,Vestido longo roxo de malha tamanho M.,Vestido longo roxo de malha tamanho M.,Roseli Budke Ateliê,80,1,,,,,
off,524156074815,codigo_de_barras_524156074815.png,,Kimono Estampado Florido,Kimono,kimono-estampado-florido,,Kimono Estampado Florido,SIM,NÃO," R$  328,90 "," R$  299,00 "," R$  269,10 ",G,,," R$  299,00 ",NÃO,kimono;estampado;florido;grande,Kimono Estampado Florido G,Kimono Estampado Florido G,Roseli Budke Ateliê,122,1,,,,,
on,091879443453,codigo_de_barras_091879443453.png,,Kimono Estampado Florido,Kimono,kimono-estampado-florido,kimono-estampado-florido,Kimono Viscose Estampado Florido Vermelho,NÃO,NÃO," R$  328,90 "," R$  299,00 "," R$  269,10 ",G,,,,SIM,kimono;estampado;florido;grande,Kimono Estampado Florido G,Kimono Estampado Florido G,Roseli Budke Ateliê,122,1,,,,,
off,799389051090,codigo_de_barras_799389051090.png,,Vestido de Alça Terra do Serrado,Vestido,vestido-alca-terra-serrado,vestido-alca-terra-serrado,Vestido de Alça Terra do Serrado,NÃO,NÃO," R$  429,00 "," R$  390,00 "," R$  351,00 ",GG,,,,SIM,vestido;estampado,Vestido de Alça Terra do Serrado,Vestido de Alça Terra do Serrado,Roseli Budke Ateliê,129,1,,,,,
off,877589598518,codigo_de_barras_877589598518.png,,Vestido Kafta Tucano do Serrado,Vestido,vestido-kafta-tucano-serrado,vestido-kafta-tucano-serrado,Vestido Kafta Tucano do Serrado tamanho único,NÃO,NÃO," R$  429,00 "," R$  390,00 "," R$  351,00 ",U,,,,SIM,vestido;estampado;kafta,Vestido Kafta Tucano do Serrado U,Vestido Kafta Tucano do Serrado U,Roseli Budke Ateliê,129,1,,,,,
off,775316173188,codigo_de_barras_775316173188.png,,Vestido Longo Estampado Viscolinho,Vestido,vestido-longo-estampado-viscolinho,vestido-longo-estampado-viscolinho,Vestido Longo Estampado Viscolinho,NÃO,NÃO," R$  429,00 "," R$  390,00 "," R$  351,00 ",GG,,,,SIM,vestido;estampado;longo,Vestido Longo Estampado,Vestido Longo Estampado,Roseli Budke Ateliê,190,1,,,,,
off,506255627156,codigo_de_barras_506255627156.png,,Vestido Longo Estampado Boho,Vestido,vestido-longo-estampado-boho,vestido-longo-estampado-boho,Vestido Longo Estampado Boho,NÃO,NÃO," R$  412,50 "," R$  375,00 "," R$  337,50 ",G,,,,SIM,boho;vestido;longo,Vestido Longo Estampado Boho,Vestido Longo Estampado Boho,Roseli Budke Ateliê,122,1,,,,,
off,098818591068,codigo_de_barras_098818591068.png,,Vestido Longo Poá,Vestido,vestido-longo-poa,,Vestido Longo Poá Branco com Fundo Preto,RESERVADO,NÃO," R$  306,90 "," R$  279,00 "," R$  251,10 ",M,,,,SIM,vestido;longo;poá,Vestido Longo Poá,Vestido Longo Poá,Roseli Budke Ateliê,128,1,,,,,
